,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
83,0.19785003662109374,0.008096560663282447,0.010272979736328125,0.0005086477419188938,0.8,0.1,6,2,50,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.6)])",0.7934093156833657,0.7891466012400624,0.7448029594126822,0.7743396623916994,0.8170638318112633,0.7837524741078147,0.023822944688558674,41
85,0.2598447322845459,0.002015080326440888,0.015277338027954102,0.00022909429742529568,0.6,0.1,6,6,100,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.6)])",0.7949522614021074,0.7793302331773746,0.7528671687778158,0.7789386238547484,0.8120766742770169,0.7836329922978127,0.019617622820213936,42
61,0.5296673774719238,0.005093746112328842,0.024833488464355468,0.0007956632245957061,1.0,0.05,6,4,200,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.7897956369584237,0.7728065921107689,0.7667560576667047,0.7771311194796301,0.8116699961948249,0.7836318804820704,0.01592713398103941,43
10,1.254246187210083,0.016122575433928917,0.023772144317626955,0.0009703690601355547,0.8,0.03,20,4,100,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.6)])",0.7945100612423447,0.7815269694549051,0.7496101030849406,0.7778756676394472,0.8143241057838662,0.7835693814411007,0.021238521389025645,44
58,0.19918251037597656,0.004946994646825537,0.011246347427368164,0.00066745959084474,1.0,0.1,6,4,50,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 1.0)])",0.7887947430484233,0.7869783940050972,0.7570859009471642,0.7722975415546453,0.8106307077625572,0.7831574574635773,0.017881956601823137,45
42,0.2736517906188965,0.005621692002493197,0.012561559677124023,0.00044252384284934534,0.8,0.1,8,6,50,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 1.0)])",0.7935091673323443,0.7914075278633648,0.7447744303701169,0.7737794557376891,0.8114083904109589,0.7829757943428948,0.022513886599106,46
57,0.3545562267303467,0.0068549887673920624,0.01861147880554199,0.0008669511875184487,0.6,0.05,8,4,100,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7871662102019857,0.7834265282057133,0.7506205066757959,0.7814763121165039,0.8092727359208524,0.7823924586241702,0.01874408475549557,47
60,0.371506929397583,0.002766435517287686,0.019452857971191406,0.0007823533300099033,0.6,0.03,8,6,100,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.6)])",0.7886093042717486,0.7835240024344783,0.743766404199475,0.7774207989887552,0.8182910007610351,0.7823223021310983,0.02385497750590033,48
95,0.24119205474853517,0.004941711019723901,0.012713623046875,0.00037358912961567986,0.6,0.075,8,2,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.4)])",0.7738003537601278,0.7855971128608923,0.7591245387804785,0.7798292087918928,0.8132253614916287,0.7823153151370039,0.01779156295536087,49
84,0.6447280406951904,0.010691304155763363,0.018946313858032228,0.0005859110964101087,0.8,0.075,8,2,100,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 1.0)])",0.7728374985735478,0.8029594126821104,0.7653034539160866,0.7763362963636842,0.7919187595129376,0.7818710842096733,0.013655762858599449,50
87,0.33764214515686036,0.004756570268145152,0.01909012794494629,0.0004584102832151887,1.0,0.075,8,6,100,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.7855257902544791,0.7889540302027463,0.7592457872113813,0.7810884767406506,0.7943826103500761,0.7818393389518666,0.012104336301352821,51
34,1.2617551326751708,0.015776771547147198,0.028196954727172853,0.00042718886945877516,0.6,0.075,20,6,100,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 1.0)])",0.7862461485792537,0.7823210278063069,0.7670247061508617,0.7698580091596182,0.8031487823439878,0.7817197348080057,0.012935984352105762,52
4,0.6114368915557862,0.009804271051908446,0.02471923828125,0.0005582017976042339,0.6,0.075,12,2,100,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 0.4)])",0.7683548727604702,0.7865956293506791,0.7671364449009089,0.780966380418623,0.8053415144596652,0.7816789683780693,0.013954310709553976,53
24,0.2306509017944336,0.006347984819264595,0.013235521316528321,0.0011474378008361453,1.0,0.075,8,6,50,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.6)])",0.788711533340941,0.7775590551181103,0.7479554186161513,0.7823908375089477,0.8110766267123287,0.7815386942592958,0.02033882569287871,54
3,0.3844775676727295,0.004871898506898676,0.01929817199707031,0.0002177592460537202,0.8,0.075,8,4,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7841468865304879,0.7878532846437674,0.7498621096276009,0.7780384627354843,0.807003900304414,0.7813809287683509,0.018496954465349377,55
27,0.5974373817443848,0.005652349318885967,0.02281465530395508,0.00040831111180176144,0.6,0.03,12,2,100,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 0.4)])",0.7762609836813876,0.7804951690821257,0.7499714709574347,0.7841696133377065,0.8138008942161339,0.7809396262549576,0.020353916721909605,56
73,0.5872986316680908,0.00968830211828712,0.015086603164672852,0.0008449613832519067,1.0,0.1,20,6,50,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.6)])",0.7864981551219142,0.7821664954924112,0.7486258511164365,0.7831305975777048,0.8028372336377474,0.7806516665892429,0.01766620205689961,57
22,0.9467169284820557,0.02272978990276812,0.032268953323364255,0.0003767741833073925,1.0,0.03,8,6,200,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 1.0)])",0.7881266879683518,0.7875109361329834,0.7518781619688842,0.7756228707957568,0.7990891362252663,0.7804455586182485,0.016098799723351775,58
37,0.8043730735778809,0.0071431831782554096,0.026734256744384767,0.00038018405145493693,0.6,0.075,12,2,100,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 0.6)])",0.7776398874053786,0.7791566815017688,0.7545884210125909,0.7822519828682101,0.8061168188736682,0.7799507583323233,0.016365678692871873,59
77,0.6444208145141601,0.006500613156707937,0.03522725105285644,0.0004344286787874886,0.6,0.05,12,6,200,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.4)])",0.7850336642702274,0.772537943626612,0.7619465365742327,0.7755749898851576,0.8030132229832572,0.7796212714678974,0.013823310551810165,60
56,1.6597342014312744,0.010096474725205482,0.028406476974487303,0.0006212059761684308,1.0,0.05,20,2,100,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 0.6)])",0.7823852181520787,0.7857587774354293,0.751476377952756,0.7694342631008155,0.8086734208523592,0.7795456114986876,0.018895593734659457,61
14,1.056863498687744,0.0187696657666737,0.032663726806640626,0.0007036319460614847,1.0,0.05,8,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7847364867435048,0.7906229791928183,0.7550567727947051,0.7654146606560164,0.79925799086758,0.7790177780509249,0.01634763049047867,62
96,0.8598392963409424,0.008296127613448149,0.017147588729858398,0.0005238605677935717,1.0,0.075,20,2,50,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.6)])",0.7780060101183004,0.7840113735783026,0.7544077370763438,0.7684263699327035,0.8088589231354641,0.778742082768223,0.018077088337726414,63
67,0.3597700119018555,0.0027825119488098654,0.01486501693725586,0.0002143190001812124,1.0,0.03,6,2,100,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 0.6)])",0.7905243162539467,0.7797201300924341,0.7367268629464796,0.7699058900702174,0.8157890981735161,0.7785332595073188,0.02590520378308097,64
91,1.0279266357421875,0.015266379341172365,0.018660974502563477,0.0003570669671148412,0.6,0.1,20,2,50,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 1.0)])",0.7716796949294383,0.799017649967667,0.7486852866217809,0.7743995135299483,0.7988798515981737,0.7785323993294015,0.018913247987315775,65
94,0.5020371913909912,0.0040020074383840315,0.02381105422973633,0.0007918033480647958,0.8,0.1,12,6,100,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.6)])",0.7830508958119367,0.7839566929133858,0.7662877058845905,0.7674280529467109,0.7913765220700152,0.7784199739253278,0.00987914054066092,66
72,0.5247982978820801,0.012213865721851805,0.013602972030639648,0.0002938635641544867,0.6,0.075,20,4,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.7752363155692493,0.7777159648522196,0.7432481265928716,0.7803750511727231,0.814017313546423,0.7781185543466973,0.022442053383823064,67
2,0.2940330505371094,0.004155441127511947,0.014630794525146484,0.00019992372407173753,1.0,0.1,6,4,100,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.6)])",0.7933617672790901,0.7814176081250712,0.7551494921830423,0.7641374373657839,0.7946513508371386,0.7777435311580252,0.015741149213960484,68
81,0.21904363632202148,0.005066857948676022,0.013161230087280273,0.0002675336255351103,0.8,0.1,8,4,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.7775638099585377,0.7833100346152384,0.7394822929742478,0.7848495222682145,0.8013460806697108,0.7773103480971898,0.020501599074672885,69
71,0.42036094665527346,0.010339769537470941,0.01585679054260254,0.0007893284891536664,0.8,0.075,12,6,50,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 1.0)])",0.7843774962912244,0.7802598044809617,0.7428522861272775,0.7726494662475492,0.8035744863013699,0.7767427078896766,0.019778370051534516,70
11,0.3469235420227051,0.004074285505393555,0.014304685592651366,0.0016301912173438938,0.6,0.03,12,2,50,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.6)])",0.7815471775267222,0.7817849195481,0.7363215128000304,0.7706851518902187,0.8132277397260276,0.7767133002982198,0.024699097344359797,71
90,0.3655858993530273,0.007785333118637249,0.015167474746704102,0.0006085151187097084,1.0,0.05,12,2,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.4)])",0.7739346780022063,0.7788202765415193,0.7379179504735822,0.782895981115769,0.8092299277016742,0.7765597627669503,0.02285903755493206,72
6,0.3334310054779053,0.0045745920372439654,0.014805746078491212,0.00037689718154216916,0.6,0.1,12,2,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.4)])",0.7606151812545171,0.7930289284491614,0.7449099433223021,0.7782682911063602,0.802644596651446,0.7758933881567572,0.021015668064643264,73
99,0.31009836196899415,0.004484742454749287,0.012581062316894532,0.00017699854894768162,0.8,0.05,8,4,50,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 1.0)])",0.7830009699874472,0.7809754079653086,0.7315012933165963,0.7737208016222052,0.8099755041856926,0.77583479541545,0.02535072515264827,74
35,1.2760225296020509,0.016026634571110532,0.025737524032592773,0.0007168411327368224,0.8,0.1,20,2,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 0.4)])",0.7743091216858762,0.7807543078854273,0.7512647875537297,0.7721826273692072,0.798306697108067,0.7753635083204615,0.015148786810088109,75
50,0.7380840301513671,0.008369351355683537,0.02780013084411621,0.001121746066193408,0.6,0.1,12,4,100,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 1.0)])",0.7662781962037355,0.7794633687093461,0.7645521891285328,0.7758479110755729,0.7897854832572299,0.7751854296748835,0.00921201195420759,76
18,0.14999933242797853,0.0016353417865501865,0.010516881942749023,0.00013538741294235479,0.6,0.05,6,6,50,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.6)])",0.7889183688995399,0.7741950055156148,0.7340427555251245,0.7705834049551955,0.8003020357686453,0.7736083141328239,0.022458318111476645,77
