,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
71,15.376669931411744,0.14747276059533537,0.59288330078125,0.004195526170024244,True,120,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.7688624519761117,0.7888066301494921,0.750779793830119,0.7770353576584319,0.8187571347031963,0.7808482736634702,0.02263947399017546,31
50,15.494267892837524,0.19824210730332661,0.6025246143341064,0.00894322320793871,True,100,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.7693569553805775,0.7872351553881852,0.7490418996538476,0.7795036185998185,0.818792808219178,0.7807860874483213,0.02291752406324459,32
88,12.358428907394408,0.08640592266362328,0.47614541053771975,0.003892795955874869,True,40,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7681991517364677,0.7900904370649321,0.7507702841492638,0.7753164329679222,0.8189307458143075,0.7806614103465787,0.022938198186363393,33
41,6.240093803405761,0.09554102006266973,0.24612503051757811,0.0037287940093879363,True,40,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.7693308037582258,0.7886093042717487,0.748383354254631,0.780097341891248,0.8168474124809741,0.7806536433313654,0.02255291196560146,34
38,12.499500751495361,0.14148045848954877,0.48873152732849123,0.006291039754429838,True,60,auto,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.769181026284758,0.7890586366921526,0.7505919776332306,0.7782946256071898,0.8161291856925418,0.7806510903819747,0.0217717598631541,35
52,9.506948280334473,0.07292614147855381,0.3697995185852051,0.005136308241433121,True,80,auto,6,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 750)])",0.765876412187607,0.7889231237399673,0.7517664232188368,0.7773729180781559,0.819208999238965,0.7806295752927064,0.022884484190517744,36
48,18.609993267059327,0.2190923877818757,0.7179404735565186,0.008152278916621252,True,20,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.7699370459127391,0.7869997907870212,0.7482906348662939,0.7783233541535491,0.8194325532724506,0.7805966757984107,0.023288199767453523,37
18,26.72894916534424,0.35002143336139263,1.0900314331054688,0.017006605230338066,True,120,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.769425900566777,0.7865052873825554,0.750042793563848,0.7790008690385274,0.8179984779299848,0.7805946656963385,0.022336870915297243,38
19,32.048905801773074,0.3750510570993634,1.2887566089630127,0.04026296963651608,True,60,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.768719806763285,0.7881361976492068,0.7512053520483852,0.7752470056475532,0.8195490867579909,0.7805714897732843,0.022837077038021573,39
70,12.356128597259522,0.1624781750654608,0.5017053127288819,0.02504881738855493,True,40,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.76892426490167,0.7873350070371639,0.7491465061432538,0.7778325748199081,0.8195039003044139,0.780548450641282,0.02320415566235777,40
