,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,13.73652262687683,0.19616238116273987,0.2238302230834961,0.007981636890586908,relu,0.2,3e-05,2,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 200)])",0.7221487823590644,0.7344301437861954,0.7354533909067817,0.7770324597974986,0.7349083042430798,0.740794616218524,0.018785804712142206,31
0,5.78870849609375,2.1665602158565282,0.23417835235595702,0.011213239786866214,elu,0.8,0.0003,2,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 1000)])",0.7474921387329042,0.7416177081478844,0.7308746084158835,0.7611375818939846,0.7193716505236245,0.7400987375428563,0.014242888182814752,32
8,5.6752685546875,0.23240769498272873,0.20389022827148437,0.0021160799725896155,relu,0.2,0.0003,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.2), ('learning_rate', 0.0003), ('n_hidden', 1), ('n_neurons', 1500)])",0.728664719209587,0.7524461805373743,0.7282194564389128,0.7588036033353188,0.7316928069226609,0.7399653532887708,0.012998124175467033,33
39,6.876814317703247,0.41003778390949797,0.32724361419677733,0.010149544558627543,relu,0.6,0.03,1,1500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7244036062774875,0.7444382773582995,0.7086343239353146,0.7670265038713521,0.7340282216431486,0.7357061866171205,0.019599292433494595,34
34,13.551288843154907,0.3901184175305834,0.2195767879486084,0.008375996242944906,relu,0.8,3e-05,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 3e-05), ('n_hidden', 2), ('n_neurons', 500)])",0.7441459224066823,0.7302132531844854,0.7222182711032088,0.7480457117331745,0.7248832292639755,0.7339012775383053,0.010357964325553212,35
3,7.691255044937134,0.6804259394445022,0.2589378833770752,0.00488424827283423,elu,0.6,0.03,3,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 1500)])",0.7062785680067141,0.7321436675079502,0.7280602827872322,0.7594997022036927,0.741639215300654,0.7335242871612486,0.01740497004886281,36
17,9.49916739463806,2.926027715442776,3.367001533508301,2.2558329234611034,elu,0.6,0.003,3,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 25)])",0.7319208866572775,0.736168563918357,0.7263906527813055,0.7590641751042286,0.7095776586852844,0.7326243874292906,0.016013304631330588,37
15,5.254856777191162,0.07200356412974533,0.25149002075195315,0.007305587691973054,relu,0.4,0.003,3,1000,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 1000)])",0.7284233882151232,0.726516492301033,0.727274574549149,0.740920935080405,0.7182875264270614,0.7282845833145544,0.007263388502631539,38
4,6.330741882324219,0.15484989505548394,0.22379117012023925,0.007694940125095669,elu,0.8,0.0003,2,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.0003), ('n_hidden', 2), ('n_neurons', 200)])",0.7369059925727685,0.7303493945201365,0.7206468546270427,0.751801667659321,0.6987413343822214,0.7276890487522981,0.017669241912989964,39
25,3.803508424758911,0.4803019235859432,0.20197396278381347,0.0014673963176769884,elu,0.8,0.03,1,1000,"OrderedDict([('activation', 'elu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1000)])",0.7367006811297172,0.7299584245305742,0.7160545254423843,0.7468917510422871,0.7046954127538229,0.7268601589797572,0.014938122355710653,40
