,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
56,0.6969318866729737,0.005121847623513036,0.03554410934448242,0.0006228213867337385,0.6,0.03,6,4,200,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.76391575381474,0.7823557674908523,0.7735506987579118,0.7777885810820955,0.7805572014845751,0.7756336005260349,0.0065684050974932325,1
49,0.7092953205108643,0.005708003522885564,0.03499512672424317,0.001100672103651595,0.6,0.03,6,6,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.6)])",0.7614942200330284,0.7836736171031404,0.7748746197640776,0.776901955485461,0.781065666534569,0.7756020157840553,0.007697416144755458,2
95,0.7063193798065186,0.004885541940462639,0.03535041809082031,0.0009456005538121167,0.6,0.03,6,6,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.6)])",0.7614942200330284,0.7836736171031404,0.7748746197640776,0.776901955485461,0.781065666534569,0.7756020157840553,0.007697416144755458,2
60,0.7088128089904785,0.00976965278166324,0.03552889823913574,0.0009268290970667043,0.6,0.03,6,6,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.6)])",0.7614942200330284,0.7836736171031404,0.7748746197640776,0.776901955485461,0.781065666534569,0.7756020157840553,0.007697416144755458,2
59,0.7390528678894043,0.011903081496643533,0.03497433662414551,0.0009715495606678337,0.6,0.03,6,2,200,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.4)])",0.7628763549922571,0.7829476688704635,0.7745736691028432,0.7770507789460438,0.7798678562446654,0.7754632656312546,0.0068870691917669764,5
91,0.7441579341888428,0.004213931952382807,0.03522086143493652,0.0007322705970690044,0.6,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.7623550484473423,0.7841609952705032,0.7743565274865096,0.7756637061641033,0.78067675626448,0.7754426067265877,0.007428583377432594,6
55,0.7434865951538085,0.0054366210661748356,0.035121917724609375,0.0012369643464989436,0.6,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.7623550484473423,0.7841609952705032,0.7743565274865096,0.7756637061641033,0.78067675626448,0.7754426067265877,0.007428583377432594,6
52,0.783472728729248,0.0034693709174527616,0.035624456405639646,0.0013206366477067153,0.6,0.03,6,2,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7617360043656893,0.7832871907398624,0.7750329521926542,0.7773026706959814,0.7798501135532252,0.7754417863094825,0.007381899680840341,8
70,0.6633834838867188,0.004630184165235823,0.03595004081726074,0.0005758240705279693,0.6,0.03,6,6,200,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.4)])",0.7631868294085937,0.7818388656826722,0.7726848703721694,0.7779256082875959,0.7800256352121692,0.7751323617926401,0.006714305673090071,9
71,1.4177186965942383,0.009773978266832593,0.05040097236633301,0.0010343751957286752,0.6,0.03,8,4,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.7611004127595461,0.7818586274745097,0.7749184290375485,0.7757373433927983,0.7796769734636019,0.774658357225601,0.007239890983193709,10
27,0.7660371780395507,0.00808482350418933,0.03480572700500488,0.0011259632906372998,1.0,0.03,6,6,200,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.4)])",0.7646737256739485,0.7789188823682913,0.7740451006946627,0.7744789570299365,0.7793106881020607,0.77428547077378,0.005276403524579887,11
97,1.6428282260894775,0.016990699488200877,0.05081253051757813,0.0006584407310549227,0.6,0.03,8,2,200,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7591866141717285,0.7808907758622331,0.7756569962457356,0.7764135428634207,0.778966551335203,0.7742228960956641,0.007744781936382905,12
50,0.874806022644043,0.0077407022075036734,0.035477399826049805,0.0006600217792419108,1.0,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.7618358847473252,0.7811477982030579,0.7745643834416184,0.7737077917481978,0.779811293973296,0.7742134304226991,0.006826477983279311,13
25,0.7543137550354004,0.01196616718719646,0.035235357284545896,0.0009385529156846275,0.8,0.03,6,4,200,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.4)])",0.761862551261612,0.7814949390765386,0.7734139138252544,0.7740533386142427,0.7802038956758321,0.7742057276906958,0.006958661046394383,14
99,0.3688462734222412,0.002551532181888854,0.021799278259277344,0.0008258144822428721,0.6,0.075,6,6,100,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.6)])",0.7608482713432113,0.782427790888814,0.7723305866823618,0.774067875413435,0.7782551765790757,0.7735859401813796,0.007266862787700951,15
36,0.4567868232727051,0.009602746234735265,0.021599388122558592,0.0006189913789805348,0.8,0.05,6,2,100,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 0.6)])",0.7581837627594509,0.7823312438214639,0.7753839025681758,0.7731241750068573,0.7782691087596024,0.77345843858311,0.00823412515764517,16
32,0.43899712562561033,0.004483226738794063,0.021829986572265626,0.0009810123561548938,0.6,0.075,6,2,100,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 1.0)])",0.7599832762860403,0.782939811772504,0.7718074944333652,0.7727578953288498,0.7796954306258382,0.7734367816893195,0.00791947647968483,17
53,0.43705191612243655,0.002783559423759957,0.02171778678894043,0.0005088732561969109,1.0,0.05,6,4,100,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7598580389064444,0.7786988836254269,0.7753086649028673,0.7744547687493134,0.7777195616388245,0.7732079835645754,0.006851170381115833,18
26,0.8693323612213135,0.015529522699377619,0.03458561897277832,0.0009057784409317678,0.8,0.03,6,4,200,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 1.0)])",0.7600667281901247,0.7803472075397665,0.7710510701843608,0.7736572704133003,0.779729606145592,0.7729703764946289,0.007358865690817324,19
39,0.7833646297454834,0.006720937414432996,0.03491230010986328,0.0007463781167878446,0.8,0.05,6,2,200,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.4)])",0.7616542191187479,0.7788150734376755,0.7707701194088414,0.775516550860805,0.7780184485885867,0.7729548822829313,0.006309070720337667,20
35,1.3592382431030274,0.005251375077636119,0.050577211380004886,0.000908589054978881,1.0,0.03,8,6,200,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.4)])",0.761200888375876,0.7781626962131645,0.771938207972145,0.7738476786519002,0.7792361449823192,0.772877123239081,0.006427012361337119,21
80,0.41809945106506347,0.004246730594520298,0.02169070243835449,0.0017034894697271154,1.0,0.075,6,4,100,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.4)])",0.7610976746799543,0.7784488850539901,0.772570109123186,0.7753819067371391,0.7767390695494452,0.7728475290287429,0.006181882987187694,22
96,0.4551363468170166,0.009123031412048177,0.02190427780151367,0.0005863133621319949,0.8,0.075,6,4,100,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 1.0)])",0.7610992222901583,0.7794991171479021,0.771261426125184,0.7741577175986066,0.7781075192811852,0.7728250004886072,0.006544671298396538,23
78,0.23251681327819823,0.0027551990569990763,0.014768409729003906,0.0007323084062857081,0.8,0.1,6,6,50,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.6)])",0.7589204252166178,0.7802274463193544,0.7728557027293178,0.7739350186011452,0.7776824091574198,0.772724200404771,0.007387964757640093,24
2,0.8471527099609375,0.007293580772304474,0.028406047821044923,0.0007733303898617153,0.8,0.05,8,2,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 0.4)])",0.7564862724593954,0.7791474524907477,0.7750662853355125,0.7740153284589777,0.7779701027313743,0.7725370882952015,0.008239238815654092,25
82,0.7952252864837647,0.0023054704229193957,0.0357093334197998,0.0009982307214721068,1.0,0.05,6,6,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.6)])",0.7606785104085119,0.7772265110866033,0.7714655916251907,0.7745351977612377,0.7780203538440433,0.7723852329451175,0.006288211240180805,26
20,0.6097927570343018,0.006632991085414036,0.030071067810058593,0.0011639403338105964,0.6,0.05,8,6,100,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.7570999594288033,0.7794619745030028,0.7696103641312525,0.7736663261242724,0.7783942602274113,0.7716465768829484,0.00808011508831319,27
90,0.7992686271667481,0.008198834038528408,0.029646015167236327,0.0009746643731302462,0.6,0.03,8,4,100,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.6)])",0.7572876964512584,0.7789367394091082,0.7704570259598517,0.7743121413015011,0.7767107288745275,0.7715408663992493,0.007660730302516667,28
57,2.0925852775573732,0.02295259832992796,0.08357005119323731,0.0015859753369437157,0.6,0.03,12,6,200,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('subsample', 0.4)])",0.7608208905472922,0.7759524707477863,0.7696054832067626,0.7756142572160314,0.7753990795710889,0.7714784362577922,0.005823824813799324,29
93,0.5268526077270508,0.004118038374408363,0.021773004531860353,0.0009336755220275288,1.0,0.05,6,2,100,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 1.0)])",0.7589978057268244,0.7781419820458169,0.7716216621619305,0.7703557488393795,0.7782037346817461,0.7714641866911395,0.007023938286448603,30
22,0.4221951484680176,0.005151483488955767,0.021381139755249023,0.000665376680838116,0.6,0.03,6,2,100,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('subsample', 0.6)])",0.7576619800267808,0.7795516168479037,0.7703446456496439,0.7731875649836628,0.7764201774173881,0.771433196985076,0.007545699205483812,31
40,0.7023271560668946,0.005408038402862693,0.02900543212890625,0.0008930912335165818,0.8,0.03,8,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.7569575792900229,0.7768527036988361,0.7718139229680593,0.7741760673287346,0.7765465196698573,0.7712693585911019,0.007383694257647231,32
92,0.9071175575256347,0.009947705425629604,0.029314327239990234,0.0006635834614186877,1.0,0.05,8,4,100,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 0.6)])",0.7573582912859547,0.7777829364784582,0.7733141524905572,0.7705354332097227,0.7773242211315694,0.7712630069192524,0.007447489210263494,33
14,0.7605775356292724,0.008861381889924087,0.03503994941711426,0.0013172746019123214,0.6,0.075,6,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7586832837145694,0.7801431610866986,0.7719198747435728,0.770190839576412,0.7748600113553226,0.771159434095315,0.007093269998492223,34
