,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_learning_rate,param_n_hidden,param_n_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
41,8.78926968574524,1.0801581255577737,0.894958782196045,1.0559021089070428,relu,0.6,0.003,1,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 200)])",0.7437191681131929,0.7636318510644122,0.7449520005584958,0.7693796288922514,0.7601480058364314,0.7563661308929568,0.0102632590995299,1
15,14.805749368667602,2.46626110942872,2.06972279548645,3.6405883078898094,relu,0.4,0.003,1,25,"OrderedDict([('activation', 'relu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 25)])",0.7439816306078989,0.7636740177203523,0.7443879347094708,0.7639063015506434,0.7588880023298179,0.7549675773836367,0.008985460372197216,2
19,6.20459771156311,0.5204633475490937,1.202387809753418,1.9066913543025055,relu,0.6,0.03,1,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 500)])",0.7424318343145851,0.7630233936168559,0.7429144565732424,0.7663484984660425,0.7589964696128163,0.7547429305167085,0.010127425704006134,3
11,10.702624130249024,2.1574598244155703,0.3102275371551514,0.015286800241750784,relu,0.6,0.03,3,200,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 200)])",0.7477830493966345,0.7611861850198887,0.7437507148299931,0.7627849387744267,0.7561362022186758,0.7543282180479236,0.007436927459582588,4
1,9.984165716171265,1.0204848569133331,0.32242512702941895,0.005968012663284775,elu,0.4,0.003,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 3), ('n_neurons', 200)])",0.7427748250747124,0.7615560679667313,0.7455851356951564,0.7643344444570851,0.7562613853500819,0.7541023717087534,0.008553021250932045,5
49,18.662517690658568,0.28565580628603443,0.2515984535217285,0.003816652957756878,elu,0.4,0.003,1,25,"OrderedDict([('activation', 'elu'), ('dropout', 0.4), ('learning_rate', 0.003), ('n_hidden', 1), ('n_neurons', 25)])",0.7426726734787614,0.761251284418533,0.7413098953266086,0.765501314008123,0.7594853153129058,0.7540440965089863,0.010042782422653246,6
25,8.806321668624879,0.9323702325176163,0.28556275367736816,0.0069943916922548905,relu,0.6,0.003,2,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.6), ('learning_rate', 0.003), ('n_hidden', 2), ('n_neurons', 500)])",0.7431942431237808,0.7605951120708341,0.7421792028661526,0.7659698441772186,0.757660873325072,0.7539198551126116,0.009556549344702205,7
10,9.508307933807373,0.6202258838984847,0.3103647708892822,0.008672510085283976,elu,0.6,0.03,3,200,"OrderedDict([('activation', 'elu'), ('dropout', 0.6), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 200)])",0.7442206056918571,0.7587135175202456,0.7468759144253807,0.76077202243484,0.7587388598156948,0.7538641839776037,0.006882314232485812,8
33,12.702883052825928,2.3718003904806806,0.32123546600341796,0.010025290396714914,relu,0.8,0.03,3,500,"OrderedDict([('activation', 'relu'), ('dropout', 0.8), ('learning_rate', 0.03), ('n_hidden', 3), ('n_neurons', 500)])",0.743797832298396,0.7594643799023362,0.7426704860249809,0.7649559911565167,0.7569584362286669,0.7535694251221794,0.00883357995325304,9
9,9.284600162506104,0.7838477469508648,0.24503622055053711,0.006736557242813553,elu,0.2,0.03,1,1500,"OrderedDict([('activation', 'elu'), ('dropout', 0.2), ('learning_rate', 0.03), ('n_hidden', 1), ('n_neurons', 1500)])",0.7402698740776531,0.7604601047952364,0.7444920956513085,0.7631467176342546,0.7591502554181637,0.7535038095153233,0.009269370057134362,10
