,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
57,28.70433392524719,0.13220611179910902,1.4770771980285644,0.019682153268485086,True,20,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7539809296327831,0.7723960624986905,0.7671865684577039,0.7687581307773351,0.7709678126143154,0.7666579007961657,0.0065863175288159714,1
60,28.808999872207643,0.1497465932634115,1.476642894744873,0.022776718558934792,True,120,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7546714018777037,0.7724582050007333,0.7667049045434027,0.7684740674226279,0.7706972663394709,0.7666011690367875,0.00627567904349762,2
92,28.55928764343262,0.289565797022301,1.4613639831542968,0.024918452610440827,True,100,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7545025933185143,0.7721339211394982,0.7664558583474761,0.7686582796484572,0.771107372576515,0.766571605006092,0.006348877061147251,3
89,28.76119933128357,0.2720294026679108,1.4448399543762207,0.02935808177274715,True,40,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7545375931185156,0.7725529663640018,0.766662047645442,0.7683723098282824,0.7704000464882331,0.766504992688895,0.00630047016832975,4
74,19.053663063049317,0.16270963252032594,0.9871179580688476,0.01709752373752254,True,100,auto,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.75395783452666,0.7724077290986909,0.7661868122658346,0.769107728882499,0.7707818120503596,0.7664883833648088,0.006594524305045081,5
82,28.620394277572633,0.28608642012472624,1.4606143474578857,0.014486035475231685,True,40,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7534856943674608,0.772129159261947,0.7663732397719633,0.7691808894948272,0.7712324049658579,0.7664802775724112,0.006792003145207136,6
23,30.38993434906006,0.1905553718188176,1.6204866409301757,0.02686540184382007,True,40,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7541235478654408,0.772588442351758,0.7663639541107384,0.7681659349413893,0.7710871292372882,0.766465801701323,0.0065433241161364656,7
71,23.828451776504515,0.22513959347107873,1.217606782913208,0.03813386893129932,True,120,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.7547061635838271,0.7725896328211457,0.765685862747451,0.768174275727811,0.7711547658059992,0.7664621401372467,0.006345138325508842,8
79,14.382676458358764,0.15017330210975832,0.7338681697845459,0.020792796009588988,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.7546706875960709,0.7717382091149956,0.7662349072291015,0.7679316779970292,0.771729676640044,0.7664610317154482,0.006274286698421593,9
88,28.85724949836731,0.3427449109852091,1.4765773296356202,0.022940115917508747,True,40,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7545452121225973,0.7722813012497071,0.7660413369066462,0.7687686163374081,0.7706270100445067,0.7664526953321731,0.006304259076252936,10
