,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27,20.811396217346193,2.9648249328537752,0.9296630382537842,0.09859225621313095,True,,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7578573757808007,0.7816702752955093,0.7641577075451063,0.7735582025585146,0.7736230627796893,0.7701733247919239,0.0082874388259061,60
14,36.19782328605652,5.558967463485764,1.6485933780670166,0.19755857040672975,True,,auto,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.7565664217254986,0.7815507753319668,0.7663846602555273,0.7730047556934644,0.773315652833725,0.7701644531680365,0.00832873344228884,61
78,31.391514539718628,4.735880233196342,1.4097134590148925,0.1546140457156455,True,,sqrt,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7556911857637061,0.7816583759347329,0.7660894548371155,0.7732197037211074,0.7740663403314006,0.7701450121176124,0.008749271180235536,62
41,32.819569730758666,4.664700420492114,1.4772841930389404,0.15745614488310783,True,120,auto,6,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7560760161547748,0.7819249722517034,0.7657998193322585,0.7734065490030867,0.7735092072441471,0.7701433127971941,0.00868953653276474,63
8,18.12878727912903,2.707403871879652,0.8363959312438964,0.09870146096604936,True,100,sqrt,4,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 750)])",0.7556830840712625,0.7819143387803712,0.7655555026695077,0.7729222197016957,0.7746206902833409,0.7701391671012356,0.008904744983141921,64
93,16.644287157058717,2.465943992983726,0.7579519748687744,0.08415381490121861,True,80,sqrt,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.7565198369939481,0.7815472308415229,0.7657150047394901,0.7730847599063446,0.7737978942798219,0.7701329453522255,0.008452998183684226,65
67,21.59172978401184,3.167333368615917,0.9661740779876709,0.10290712182260249,True,20,auto,4,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1000)])",0.7554367419854009,0.7821518196401228,0.766707715241714,0.7725016912282976,0.7737978942798219,0.7701191724750714,0.008845403247606905,66
91,14.904484748840332,2.20567360905703,0.6758242130279541,0.07874564342126907,True,60,auto,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.756128423977769,0.7826475419465126,0.7643911375586361,0.7732247672788846,0.7741356657019307,0.7701055072927466,0.009069591747950401,67
21,11.064296245574951,1.624698728072375,0.5007562637329102,0.059172075451779646,True,40,auto,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.7571841757743192,0.781386716059985,0.7649159753222449,0.7730948870218988,0.7737080749128942,0.7700579658182684,0.008283251839655798,68
2,22.734840965270998,3.155906029794796,1.047746181488037,0.09912319921388749,True,,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7548182284029135,0.7820244711620257,0.76543498999441,0.7738551802221484,0.7741513524646054,0.7700568444492206,0.009251955439551375,69
